,Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,happy_level
59,Hungary,5.590674993468047,1.27920988141005,0.7215859151912384,0.3097606651638689,0.0353106388012049,0.0828616126761632,Happy
60,Iceland,7.521312512365021,1.459639328550125,0.8955706910145111,0.6460191729157981,0.1507834164340105,0.3776188060921821,Very Happy
61,India,4.082287492777557,0.786518425768734,0.4861497196043301,0.5197299064994183,0.0971193584073939,0.2249551215576181,Ok
62,Indonesia,5.266325033615417,0.9790711630423202,0.5485565945661945,0.5146206114001903,0.0244769685613096,0.5282388893670501,Happy
63,Iran,4.715924988782745,1.11394695149456,0.6759696280667229,0.2995360100141611,0.1062178233124897,0.3191827316557694,Ok
64,Iraq,4.6527250338047175,1.0496198993072965,0.5235826459987222,0.2494629480867328,0.0907025933359732,0.1654686665016612,Ok
65,Ireland,7.005212521063903,1.5652454271612326,0.8627916649055862,0.5852175351282196,0.3309239269143237,0.3331156647323512,Very Happy
66,Israel,7.170074992713654,1.36713451355011,0.8909371181006812,0.4481497601037922,0.1207838187574982,0.2786930563691254,Very Happy
67,Italy,6.181175046883393,1.3778190866149211,0.9081411592084616,0.2914232857101021,0.0358429611769703,0.156390732396905,Happy
68,Ivory Coast,4.642537504667327,0.6291941668289261,0.1357743353355214,0.4285148405914821,0.1208846961807422,0.1752728821139468,Ok
69,Jamaica,5.794849992787536,0.9056684633079376,0.6850695590208398,0.5272277307569543,0.0372931957524013,0.1458546037901601,Happy
70,Japan,5.934850011786744,1.3974311610373686,0.9590471515107653,0.5004814276223183,0.1769562968230828,0.06757181851897,Happy
71,Jordan,4.884799991083465,0.9434876990535316,0.6754655980408402,0.4240145290317306,0.1451977371484637,0.111726903653019,Ok
72,Kazakhstan,5.954487464912933,1.246640063330711,0.6275463114545365,0.4846970531546821,0.1164508215482397,0.1493822770075521,Happy
73,Kenya,4.49750001953714,0.5705341076433449,0.4228901385845165,0.4572317877562923,0.0650115496519122,0.3810578002953013,Ok
74,Kosovo,5.897899985806305,0.9413619653940696,0.5966851521511306,0.4172522951877708,0.0321138302570371,0.3011547890632439,Happy
